GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.posapp.model,OrderForm,61,0,0,0,10,0,8,0,8,0
pos-app,com.increff.posapp.model,AboutAppData,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.posapp.model,SalesReportForm,66,0,0,0,7,0,10,0,10,0
pos-app,com.increff.posapp.model,BrandData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.posapp.model,InfoData,52,0,0,0,9,0,8,0,8,0
pos-app,com.increff.posapp.model,LoginForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.posapp.model,InvoiceData,41,0,0,0,6,0,8,0,8,0
pos-app,com.increff.posapp.model,MessageData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.posapp.model,SalesReportData,116,0,0,0,15,0,16,0,16,0
pos-app,com.increff.posapp.model,UserData,24,0,0,0,5,0,7,0,7,0
pos-app,com.increff.posapp.model,InventoryReportData,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.posapp.model,ProductForm,70,0,0,0,8,0,12,0,12,0
pos-app,com.increff.posapp.model,UserForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.posapp.model,OrderItemEditForm,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.posapp.model,InventoryForm,34,0,0,0,5,0,6,0,6,0
pos-app,com.increff.posapp.util,ConverterDto,274,0,0,0,69,0,12,0,12,0
pos-app,com.increff.posapp.util,DoubleUtil,33,0,2,0,6,0,4,0,3,0
pos-app,com.increff.posapp.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos-app,com.increff.posapp.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
pos-app,com.increff.posapp.util,StringUtil,13,8,4,2,2,1,4,2,2,1
pos-app,com.increff.posapp.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
pos-app,com.increff.posapp.util,FormNormalizer,61,0,0,0,15,0,5,0,5,0
pos-app,com.increff.posapp.util,FormValidator,218,0,38,0,44,0,25,0,6,0
pos-app,com.increff.posapp.util,DateTimeUtil,49,0,0,0,15,0,6,0,6,0
pos-app,com.increff.posapp.util,UserPrincipal,50,0,0,0,10,0,8,0,8,0
pos-app,com.increff.posapp.spring,ControllerConfig,4,174,0,0,2,32,1,8,1,8
pos-app,com.increff.posapp.spring,SecurityConfig,0,114,0,0,0,15,0,4,0,4
pos-app,com.increff.posapp.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
pos-app,com.increff.posapp.spring,DbConfig,0,102,0,0,0,27,0,4,0,4
pos-app,com.increff.posapp.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos-app,com.increff.posapp.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos-app,com.increff.posapp.dto,OrderItemDto,511,3,28,0,107,1,29,1,15,1
pos-app,com.increff.posapp.dto,BrandDto,167,3,8,0,40,1,12,1,8,1
pos-app,com.increff.posapp.dto,InventoryDto,161,3,4,0,37,1,9,1,7,1
pos-app,com.increff.posapp.dto,ProductDto,132,3,2,0,28,1,6,1,5,1
pos-app,com.increff.posapp.dto,OrderDataDto,7,3,0,0,2,1,1,1,1,1
pos-app,com.increff.posapp.dto,SalesReportDto,606,3,42,0,88,1,26,1,5,1
pos-app,com.increff.posapp.dto,InventoryReportDto,176,3,16,0,35,1,12,1,4,1
pos-app,com.increff.posapp.dto,OrderDto,408,9,21,1,80,2,17,2,6,2
pos-app,com.increff.posapp.dto,BrandReportDto,181,3,8,0,46,1,11,1,7,1
